video_id,filename,true_class,predicted_class,attention_weight
PREV006,PREV006_F008.jpg,Preventive,Promotional,0.1318133920431137
PREV006,PREV006_F013.jpg,Preventive,Promotional,0.1502196341753006
PREV006,PREV006_F015.jpg,Preventive,Promotional,0.11670277267694473
PREV006,PREV006_F017.jpg,Preventive,Promotional,0.10133542120456696
PREV006,PREV006_F018.jpg,Preventive,Promotional,0.08769620954990387
PREV006,PREV006_F020.jpg,Preventive,Promotional,0.10980275273323059
PREV006,PREV006_F024.jpg,Preventive,Promotional,0.10637357831001282
PREV006,PREV006_F029.jpg,Preventive,Promotional,0.19605620205402374
NSbzJ63aYT4,PREVENTIVE_NSbzJ63aYT4_F002.jpg,Preventive,Preventive,0.3739258050918579
NSbzJ63aYT4,PREVENTIVE_NSbzJ63aYT4_F003.jpg,Preventive,Preventive,0.2863493859767914
NSbzJ63aYT4,PREVENTIVE_NSbzJ63aYT4_F004.jpg,Preventive,Preventive,0.3397248089313507
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F008.jpg,Preventive,Preventive,0.08749717473983765
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F019.jpg,Preventive,Preventive,0.11082065105438232
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F030.jpg,Preventive,Preventive,0.11163505166769028
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F031.jpg,Preventive,Preventive,0.09037383645772934
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F035.jpg,Preventive,Preventive,0.11072609573602676
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F037.jpg,Preventive,Preventive,0.12976978719234467
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F039.jpg,Preventive,Preventive,0.13097696006298065
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F044.jpg,Preventive,Preventive,0.12469575554132462
V_fSL4xlEdo,PREVENTIVE_V_fSL4xlEdo_F049.jpg,Preventive,Preventive,0.10350470244884491
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F004.jpg,Preventive,Promotional,0.14035390317440033
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F005.jpg,Preventive,Promotional,0.08964064717292786
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F006.jpg,Preventive,Promotional,0.09670869261026382
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F007.jpg,Preventive,Promotional,0.11876226216554642
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F008.jpg,Preventive,Promotional,0.06797866523265839
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F009.jpg,Preventive,Promotional,0.09490077197551727
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F015.jpg,Preventive,Promotional,0.17535974085330963
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F016.jpg,Preventive,Promotional,0.1377076655626297
mHBb67I9uT0,PREVENTIVE_mHBb67I9uT0_F017.jpg,Preventive,Promotional,0.07858774811029434
uWimehBOIHM,PREVENTIVE_uWimehBOIHM_F013.jpg,Preventive,Promotional,0.23156960308551788
uWimehBOIHM,PREVENTIVE_uWimehBOIHM_F023.jpg,Preventive,Promotional,0.1779412180185318
uWimehBOIHM,PREVENTIVE_uWimehBOIHM_F027.jpg,Preventive,Promotional,0.24299560487270355
uWimehBOIHM,PREVENTIVE_uWimehBOIHM_F040.jpg,Preventive,Promotional,0.15882375836372375
uWimehBOIHM,PREVENTIVE_uWimehBOIHM_F045.jpg,Preventive,Promotional,0.18866978585720062
