model,filename,video_id,true_class,predicted_class,confidence
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_tvgJjsc0xUs_F036.jpg,tvgJjsc0xUs,Promotional,Preventive,0.577187
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_tvgJjsc0xUs_F037.jpg,tvgJjsc0xUs,Promotional,Preventive,0.585781
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_tvgJjsc0xUs_F038.jpg,tvgJjsc0xUs,Promotional,Preventive,0.716135
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_zNfEfnyxE6c_F018.jpg,zNfEfnyxE6c,Promotional,Preventive,0.541436
efficientnet_b0,Dataset_Split/test/Promotional/PROMOTIONAL_zNfEfnyxE6c_F019.jpg,zNfEfnyxE6c,Promotional,Preventive,0.680690
resnet50,Dataset_Split/test/Preventive/PREV004_F007.jpg,PREV004,Preventive,Promotional,0.742793
resnet50,Dataset_Split/test/Preventive/PREV004_F011.jpg,PREV004,Preventive,Promotional,0.634578
resnet50,Dataset_Split/test/Preventive/PREV004_F014.jpg,PREV004,Preventive,Promotional,0.624016
resnet50,Dataset_Split/test/Preventive/PREV004_F021.jpg,PREV004,Preventive,Promotional,0.540040
resnet50,Dataset_Split/test/Preventive/PREV006_F008.jpg,PREV006,Preventive,Promotional,0.544439
resnet50,Dataset_Split/test/Preventive/PREV006_F015.jpg,PREV006,Preventive,Promotional,0.634593
resnet50,Dataset_Split/test/Preventive/PREV006_F024.jpg,PREV006,Preventive,Promotional,0.545620
resnet50,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F004.jpg,mHBb67I9uT0,Preventive,Promotional,0.604717
resnet50,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F005.jpg,mHBb67I9uT0,Preventive,Promotional,0.621105
resnet50,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F007.jpg,mHBb67I9uT0,Preventive,Promotional,0.588731
resnet50,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F008.jpg,mHBb67I9uT0,Preventive,Promotional,0.516391
resnet50,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F015.jpg,mHBb67I9uT0,Preventive,Promotional,0.588699
resnet50,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F016.jpg,mHBb67I9uT0,Preventive,Promotional,0.635161
resnet50,Dataset_Split/test/Preventive/PREVENTIVE_mHBb67I9uT0_F017.jpg,mHBb67I9uT0,Preventive,Promotional,0.538465
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_YU0COqQ9W-A_F037.jpg,YU0COqQ9W-A,Promotional,Preventive,0.608334
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F003.jpg,Z4A8G6FzgSw,Promotional,Preventive,0.566172
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F005.jpg,Z4A8G6FzgSw,Promotional,Preventive,0.652607
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F006.jpg,Z4A8G6FzgSw,Promotional,Preventive,0.573647
resnet50,Dataset_Split/test/Promotional/PROMOTIONAL_Z4A8G6FzgSw_F030.jpg,Z4A8G6FzgSw,Promotional,Preventive,0.841553
